id,sex,age,height,weight,headband,college,tattoos,tchests,parrots,favorite.pirate,sword.type,eyepatch,sword.time,beard.length,fav.pixar,grogg,favorite.sea
198,female,36.0,167.23,70.1,yes,JSSFP,11.0,4.0,0,Hook,sabre,0.0,1.6,0.0,Monsters University,15.0,
199,female,33.0,195.78,93.0,yes,JSSFP,13.0,15.0,0,Anicetus,cutlass,1.0,0.85,0.0,The Incredibles,12.0,
200,female,30.0,176.5,76.4,yes,JSSFP,0.0,8.0,0,Jack Sparrow,cutlass,1.0,0.46,0.0,Inside Out,8.0,
201,male,18.0,178.05,70.6,yes,CCCC,14.0,12.0,1,Anicetus,cutlass,1.0,0.3,26.0,Inside Out,8.0,
202,female,21.0,155.81,58.5,yes,CCCC,8.0,1.0,2,Hook,cutlass,1.0,0.03,0.0,Inside Out,10.0,
203,male,28.0,185.95,77.0,yes,CCCC,10.0,10.0,1,Edward Low,cutlass,0.0,1.02,22.0,Up,12.0,
204,female,35.0,178.5,77.3,yes,JSSFP,15.0,49.0,1,Jack Sparrow,cutlass,0.0,0.04,1.0,Finding Nemo,11.0,
205,female,20.0,149.71,59.0,yes,CCCC,8.0,25.0,1,Jack Sparrow,cutlass,1.0,0.0,0.0,"Monsters, Inc.",6.0,
206,female,23.0,161.34,58.8,yes,CCCC,9.0,1.0,1,Hook,cutlass,1.0,0.67,0.0,Inside Out,12.0,
207,female,32.0,167.24,65.1,yes,JSSFP,12.0,2.0,1,Anicetus,cutlass,1.0,0.39,0.0,Toy Story 3,12.0,
208,male,22.0,171.26,70.3,yes,CCCC,10.0,7.0,0,Jack Sparrow,cutlass,0.0,0.24,13.0,Up,11.0,
209,male,27.0,176.3,70.2,yes,CCCC,2.0,2.0,1,Hook,cutlass,1.0,1.75,15.0,Inside Out,5.0,
210,other,32.0,155.09,58.5,yes,JSSFP,10.0,122.0,0,Jack Sparrow,cutlass,1.0,0.17,12.0,Finding Nemo,9.0,
211,female,32.0,157.2,60.5,yes,CCCC,12.0,11.0,3,Lewis Scot,cutlass,1.0,1.41,1.0,Inside Out,11.0,
212,female,26.0,156.34,57.1,yes,CCCC,8.0,4.0,5,Lewis Scot,cutlass,0.0,1.38,0.0,Finding Nemo,10.0,
213,female,26.0,150.93,62.2,yes,CCCC,7.0,7.0,0,Blackbeard,cutlass,1.0,0.12,0.0,WALL-E,10.0,
214,female,29.0,183.21,78.0,yes,JSSFP,13.0,12.0,10,Anicetus,cutlass,1.0,0.16,0.0,A Bug's Life,4.0,
215,female,27.0,187.3,80.5,yes,JSSFP,8.0,28.0,1,Jack Sparrow,cutlass,1.0,0.07,0.0,Inside Out,3.0,
216,female,33.0,166.42,71.7,yes,JSSFP,7.0,54.0,2,Blackbeard,cutlass,1.0,0.15,1.0,A Bug's Life,11.0,
217,female,34.0,191.52,85.8,yes,JSSFP,6.0,37.0,1,Lewis Scot,cutlass,1.0,0.68,0.0,Inside Out,9.0,
218,male,22.0,179.0,77.3,yes,CCCC,10.0,11.0,6,Jack Sparrow,cutlass,1.0,0.33,26.0,Inside Out,8.0,
219,male,34.0,194.74,87.5,no,JSSFP,1.0,26.0,0,Blackbeard,banana,1.0,44.37,11.0,Monsters University,14.0,
220,male,28.0,181.82,82.9,yes,CCCC,15.0,52.0,5,Jack Sparrow,cutlass,1.0,0.08,33.0,Inside Out,9.0,
221,female,30.0,155.91,57.0,yes,JSSFP,12.0,9.0,2,Blackbeard,sabre,1.0,4.4,0.0,Monsters University,11.0,
222,male,24.0,148.73,55.4,yes,CCCC,7.0,37.0,0,Jack Sparrow,cutlass,1.0,1.94,12.0,Inside Out,15.0,
223,female,28.0,135.15,45.2,yes,JSSFP,11.0,28.0,7,Jack Sparrow,cutlass,1.0,0.8,0.0,Finding Nemo,12.0,
224,female,24.0,166.62,65.5,yes,CCCC,9.0,13.0,1,Blackbeard,cutlass,1.0,0.32,0.0,Brave,13.0,
225,male,25.0,169.31,69.0,yes,CCCC,10.0,25.0,0,Jack Sparrow,cutlass,1.0,0.25,25.0,Inside Out,9.0,
226,male,30.0,177.05,67.1,yes,JSSFP,11.0,123.0,1,Jack Sparrow,cutlass,0.0,0.13,23.0,Finding Nemo,10.0,
227,female,32.0,178.52,74.7,yes,JSSFP,8.0,2.0,4,Anicetus,cutlass,0.0,0.14,0.0,Finding Nemo,12.0,
228,female,26.0,167.45,65.2,yes,CCCC,5.0,12.0,0,Edward Low,cutlass,0.0,0.19,0.0,Inside Out,7.0,
229,female,31.0,163.24,60.2,yes,JSSFP,9.0,21.0,5,Anicetus,cutlass,1.0,1.05,2.0,Finding Nemo,10.0,
230,female,31.0,174.0,71.8,no,JSSFP,5.0,9.0,0,Hook,banana,1.0,39.7,1.0,Inside Out,11.0,
231,male,26.0,175.07,72.3,no,CCCC,9.0,9.0,1,Edward Low,banana,1.0,1.18,14.0,Inside Out,11.0,
232,female,38.0,161.37,64.8,yes,JSSFP,7.0,48.0,2,Hook,cutlass,1.0,2.15,0.0,Toy Story 2,11.0,
233,female,29.0,174.16,71.1,yes,JSSFP,12.0,18.0,1,Edward Low,cutlass,1.0,0.49,0.0,Inside Out,16.0,
234,male,26.0,170.11,70.9,yes,CCCC,8.0,5.0,1,Jack Sparrow,cutlass,0.0,0.21,21.0,Finding Nemo,19.0,
235,male,22.0,173.82,72.0,yes,CCCC,12.0,7.0,12,Lewis Scot,scimitar,1.0,0.74,27.0,WALL-E,5.0,
236,male,21.0,176.45,80.2,yes,CCCC,14.0,4.0,2,Blackbeard,cutlass,0.0,0.05,28.0,Monsters University,9.0,
237,other,24.0,174.76,73.2,yes,CCCC,10.0,17.0,1,Lewis Scot,cutlass,1.0,0.22,15.0,Brave,15.0,
238,female,29.0,158.21,54.4,yes,CCCC,11.0,63.0,3,Anicetus,cutlass,1.0,0.79,0.0,The Incredibles,13.0,
239,female,40.0,173.33,69.8,yes,JSSFP,4.0,15.0,3,Edward Low,cutlass,1.0,1.01,1.0,Inside Out,11.0,
240,male,35.0,168.78,69.5,yes,JSSFP,9.0,125.0,2,Blackbeard,cutlass,0.0,0.13,17.0,Finding Nemo,13.0,
241,female,27.0,173.52,79.3,yes,CCCC,12.0,2.0,4,Hook,cutlass,1.0,0.6,0.0,Cars,11.0,
242,female,27.0,163.79,63.2,yes,CCCC,16.0,18.0,1,Hook,cutlass,1.0,1.64,1.0,Inside Out,11.0,
243,female,34.0,188.44,88.0,yes,JSSFP,7.0,59.0,7,Hook,cutlass,1.0,2.19,1.0,Inside Out,11.0,
244,male,27.0,164.99,67.9,yes,CCCC,8.0,23.0,1,Jack Sparrow,cutlass,0.0,0.13,14.0,Finding Nemo,12.0,
245,male,17.0,172.84,71.5,yes,CCCC,12.0,21.0,3,Jack Sparrow,cutlass,0.0,0.58,21.0,Brave,8.0,
246,female,33.0,164.32,66.7,yes,JSSFP,10.0,101.0,4,Hook,cutlass,0.0,1.14,0.0,Finding Nemo,6.0,
247,male,28.0,164.26,62.8,yes,CCCC,14.0,13.0,2,Jack Sparrow,cutlass,1.0,0.15,20.0,Cars 2,6.0,
248,male,19.0,175.78,68.9,yes,CCCC,6.0,43.0,4,Jack Sparrow,cutlass,1.0,0.19,21.0,"Monsters, Inc.",10.0,
249,male,22.0,182.14,77.6,yes,CCCC,12.0,16.0,2,Blackbeard,cutlass,1.0,1.1,22.0,Up,6.0,
250,female,25.0,169.53,63.8,yes,CCCC,9.0,21.0,9,Edward Low,cutlass,1.0,0.06,0.0,The Incredibles,8.0,
251,male,33.0,177.82,76.4,yes,JSSFP,9.0,1.0,2,Blackbeard,cutlass,0.0,0.01,14.0,Finding Nemo,3.0,
252,female,23.0,177.9,80.2,yes,CCCC,6.0,10.0,4,Jack Sparrow,cutlass,1.0,0.95,1.0,Inside Out,10.0,
253,female,37.0,168.14,70.5,yes,JSSFP,12.0,8.0,0,Blackbeard,cutlass,1.0,1.81,0.0,Inside Out,13.0,
254,male,18.0,180.27,77.2,yes,CCCC,11.0,47.0,0,Jack Sparrow,cutlass,0.0,0.67,22.0,The Incredibles,6.0,
255,female,28.0,163.97,62.5,yes,CCCC,11.0,6.0,0,Hook,cutlass,1.0,0.3,0.0,The Incredibles,14.0,
256,male,22.0,195.82,88.3,yes,CCCC,4.0,9.0,3,Jack Sparrow,cutlass,1.0,0.52,24.0,Cars,9.0,
257,female,33.0,154.1,59.0,yes,JSSFP,10.0,32.0,1,Hook,cutlass,1.0,0.78,0.0,Inside Out,17.0,
258,female,34.0,171.51,66.2,yes,JSSFP,8.0,19.0,5,Anicetus,cutlass,0.0,0.16,1.0,Finding Nemo,11.0,
259,female,20.0,165.28,72.7,yes,CCCC,12.0,10.0,0,Jack Sparrow,cutlass,1.0,1.75,0.0,Finding Nemo,9.0,
260,other,31.0,182.44,81.7,no,JSSFP,11.0,17.0,4,Anicetus,banana,0.0,7.63,12.0,Finding Nemo,9.0,
261,male,22.0,179.93,72.2,yes,CCCC,13.0,0.0,1,Jack Sparrow,cutlass,1.0,0.39,23.0,The Incredibles,10.0,
262,male,27.0,178.91,74.4,no,CCCC,2.0,15.0,6,Jack Sparrow,banana,1.0,3.52,11.0,"Monsters, Inc.",5.0,
263,male,27.0,166.41,70.3,yes,CCCC,10.0,0.0,3,Jack Sparrow,cutlass,1.0,0.17,24.0,Monsters University,11.0,
264,male,20.0,175.04,75.0,yes,CCCC,10.0,1.0,3,Jack Sparrow,cutlass,1.0,0.25,25.0,Inside Out,11.0,
265,male,29.0,183.59,82.9,yes,CCCC,15.0,8.0,0,Jack Sparrow,cutlass,1.0,1.67,23.0,Cars 2,12.0,
266,male,22.0,169.02,75.0,yes,CCCC,9.0,14.0,1,Jack Sparrow,cutlass,1.0,0.15,19.0,Inside Out,8.0,
267,female,32.0,166.98,63.3,yes,JSSFP,9.0,32.0,7,Blackbeard,cutlass,1.0,0.06,0.0,Toy Story 3,9.0,
268,female,29.0,153.28,59.5,yes,CCCC,11.0,9.0,5,Anicetus,cutlass,0.0,1.4,1.0,Up,10.0,
269,female,26.0,155.63,56.7,yes,CCCC,9.0,14.0,1,Hook,cutlass,1.0,0.32,0.0,Inside Out,11.0,
270,male,27.0,182.72,80.8,yes,JSSFP,11.0,10.0,0,Jack Sparrow,cutlass,1.0,0.19,20.0,Inside Out,12.0,
271,female,31.0,159.86,61.3,yes,JSSFP,10.0,12.0,0,Blackbeard,scimitar,1.0,8.59,0.0,Inside Out,12.0,
272,male,26.0,196.75,92.5,yes,CCCC,7.0,16.0,0,Jack Sparrow,cutlass,1.0,0.1,13.0,Toy Story 2,13.0,
273,female,24.0,158.51,60.6,yes,CCCC,17.0,28.0,1,Anicetus,cutlass,0.0,0.1,0.0,Cars,7.0,
274,female,35.0,161.31,64.9,yes,JSSFP,8.0,20.0,1,Lewis Scot,cutlass,0.0,0.53,0.0,Finding Nemo,12.0,
275,female,32.0,176.72,74.7,yes,JSSFP,17.0,60.0,1,Anicetus,cutlass,1.0,1.27,1.0,Inside Out,10.0,
276,male,28.0,167.53,69.7,yes,CCCC,11.0,32.0,1,Jack Sparrow,cutlass,1.0,0.3,21.0,Inside Out,8.0,
277,male,20.0,194.53,86.8,yes,CCCC,9.0,32.0,1,Jack Sparrow,cutlass,1.0,0.3,5.0,Brave,13.0,
278,female,28.0,156.16,55.1,no,CCCC,9.0,0.0,2,Blackbeard,sabre,0.0,5.59,0.0,"Monsters, Inc.",11.0,
279,female,26.0,163.98,60.3,yes,CCCC,10.0,54.0,2,Edward Low,cutlass,1.0,0.0,0.0,Inside Out,13.0,
280,male,27.0,197.43,96.2,yes,CCCC,12.0,33.0,0,Jack Sparrow,cutlass,1.0,0.07,22.0,Up,8.0,
281,female,36.0,157.46,60.5,yes,JSSFP,14.0,30.0,3,Blackbeard,cutlass,0.0,0.03,0.0,Finding Nemo,10.0,
282,female,25.0,164.72,64.4,yes,CCCC,8.0,5.0,8,Anicetus,cutlass,1.0,0.23,0.0,Inside Out,16.0,
283,male,21.0,182.78,82.0,yes,CCCC,8.0,35.0,2,Jack Sparrow,cutlass,1.0,2.0,29.0,"Monsters, Inc.",13.0,
284,male,21.0,188.27,89.9,no,CCCC,2.0,4.0,7,Jack Sparrow,banana,0.0,4.24,12.0,Monsters University,8.0,
285,male,22.0,172.81,76.7,yes,CCCC,4.0,18.0,0,Jack Sparrow,scimitar,0.0,2.65,20.0,The Incredibles,16.0,
286,male,30.0,161.71,66.0,yes,JSSFP,17.0,47.0,2,Jack Sparrow,cutlass,0.0,0.19,34.0,Finding Nemo,8.0,
287,male,30.0,189.5,82.8,yes,JSSFP,11.0,7.0,1,Jack Sparrow,cutlass,1.0,0.16,19.0,Inside Out,9.0,
288,male,17.0,173.62,79.7,yes,CCCC,16.0,30.0,2,Blackbeard,cutlass,1.0,0.5,24.0,Up,8.0,
289,female,22.0,160.45,61.4,no,CCCC,4.0,30.0,0,Lewis Scot,sabre,1.0,5.46,0.0,Inside Out,9.0,
290,male,28.0,182.89,81.8,yes,CCCC,11.0,1.0,7,Edward Low,cutlass,1.0,0.66,23.0,Up,12.0,
291,female,32.0,172.88,74.9,yes,CCCC,9.0,40.0,1,Hook,cutlass,0.0,0.33,3.0,WALL-E,9.0,
292,male,29.0,200.62,101.6,yes,CCCC,9.0,2.0,3,Jack Sparrow,sabre,1.0,9.9,14.0,WALL-E,6.0,
293,male,23.0,166.12,71.3,yes,CCCC,8.0,32.0,0,Jack Sparrow,cutlass,0.0,0.38,29.0,Finding Nemo,13.0,
294,male,25.0,162.47,62.6,yes,CCCC,9.0,9.0,1,Jack Sparrow,cutlass,0.0,1.04,26.0,Up,12.0,
295,female,33.0,165.84,62.3,yes,JSSFP,10.0,78.0,1,Edward Low,cutlass,0.0,0.17,0.0,Finding Nemo,8.0,
296,female,28.0,159.08,66.2,yes,CCCC,6.0,2.0,1,Edward Low,scimitar,1.0,12.13,1.0,The Incredibles,6.0,
297,female,31.0,156.06,55.1,no,JSSFP,6.0,51.0,3,Hook,scimitar,1.0,5.8,1.0,WALL-E,11.0,
298,female,33.0,155.71,51.9,yes,JSSFP,15.0,15.0,3,Hook,cutlass,1.0,0.0,0.0,A Bug's Life,12.0,
299,male,19.0,183.17,79.3,yes,CCCC,11.0,9.0,1,Jack Sparrow,cutlass,1.0,0.02,18.0,The Incredibles,8.0,
300,male,32.0,180.37,71.4,yes,JSSFP,11.0,0.0,5,Jack Sparrow,cutlass,1.0,0.6,24.0,Up,13.0,
301,female,38.0,165.55,61.3,yes,JSSFP,11.0,37.0,0,Jack Sparrow,cutlass,1.0,0.67,0.0,Inside Out,9.0,
302,male,17.0,186.14,87.4,yes,CCCC,7.0,1.0,1,Jack Sparrow,cutlass,1.0,1.38,16.0,WALL-E,11.0,
303,male,26.0,167.0,72.0,yes,CCCC,13.0,10.0,4,Jack Sparrow,cutlass,1.0,0.14,23.0,Inside Out,12.0,
304,male,29.0,184.62,85.8,yes,JSSFP,10.0,44.0,1,Jack Sparrow,cutlass,1.0,0.43,13.0,Inside Out,10.0,
305,male,27.0,151.07,55.6,yes,CCCC,6.0,3.0,5,Blackbeard,cutlass,0.0,0.36,15.0,Finding Nemo,7.0,
306,male,38.0,172.25,71.5,yes,JSSFP,10.0,10.0,5,Edward Low,cutlass,1.0,0.14,16.0,Inside Out,10.0,
307,female,37.0,174.85,71.7,yes,JSSFP,7.0,18.0,18,Hook,cutlass,1.0,0.38,1.0,Inside Out,6.0,
308,male,31.0,166.22,66.3,no,JSSFP,6.0,53.0,1,Jack Sparrow,banana,1.0,13.24,18.0,Monsters University,12.0,
309,female,29.0,163.73,67.6,yes,CCCC,13.0,10.0,1,Edward Low,scimitar,1.0,1.54,1.0,Up,11.0,
310,female,27.0,166.91,66.0,yes,JSSFP,11.0,15.0,3,Blackbeard,cutlass,0.0,0.3,0.0,Finding Nemo,11.0,
311,female,39.0,147.8,60.0,yes,JSSFP,14.0,33.0,13,Jack Sparrow,cutlass,1.0,0.04,0.0,A Bug's Life,9.0,
312,female,32.0,164.63,62.7,no,JSSFP,8.0,11.0,2,Edward Low,sabre,1.0,1.38,1.0,Inside Out,10.0,
313,female,36.0,144.34,48.9,yes,JSSFP,7.0,5.0,9,Jack Sparrow,cutlass,1.0,0.03,1.0,Up,9.0,
314,female,28.0,174.65,70.5,yes,CCCC,14.0,135.0,0,Lewis Scot,cutlass,0.0,1.27,0.0,Finding Nemo,12.0,
315,female,31.0,159.56,54.5,yes,JSSFP,11.0,18.0,3,Blackbeard,cutlass,0.0,2.25,0.0,Finding Nemo,16.0,
316,male,26.0,178.43,74.2,no,CCCC,3.0,8.0,6,Jack Sparrow,cutlass,0.0,0.08,21.0,Finding Nemo,6.0,
317,female,34.0,157.56,55.2,yes,JSSFP,11.0,12.0,12,Blackbeard,cutlass,1.0,0.45,0.0,Inside Out,14.0,
318,female,33.0,156.59,55.9,yes,JSSFP,9.0,66.0,4,Lewis Scot,cutlass,0.0,0.57,1.0,Finding Nemo,12.0,
319,female,37.0,169.36,71.0,yes,JSSFP,13.0,12.0,6,Hook,cutlass,0.0,1.12,1.0,The Incredibles,13.0,
320,male,23.0,161.57,65.5,yes,CCCC,15.0,2.0,3,Jack Sparrow,cutlass,1.0,1.71,40.0,The Incredibles,9.0,
321,female,25.0,181.49,79.5,yes,CCCC,14.0,20.0,1,Jack Sparrow,cutlass,1.0,0.18,0.0,Inside Out,5.0,
322,female,25.0,158.35,59.0,yes,CCCC,9.0,12.0,1,Lewis Scot,cutlass,1.0,2.3,0.0,Inside Out,12.0,
323,other,24.0,193.51,88.3,yes,CCCC,12.0,71.0,4,Edward Low,cutlass,0.0,0.41,9.0,Finding Nemo,14.0,
324,female,24.0,147.54,51.1,yes,CCCC,13.0,18.0,1,Jack Sparrow,cutlass,0.0,0.3,0.0,Finding Nemo,12.0,
325,male,34.0,189.02,80.9,yes,JSSFP,12.0,54.0,3,Lewis Scot,cutlass,0.0,0.38,17.0,A Bug's Life,6.0,
326,male,24.0,197.98,90.5,yes,CCCC,12.0,1.0,1,Jack Sparrow,cutlass,1.0,0.76,26.0,Inside Out,10.0,
327,male,16.0,167.51,68.1,yes,CCCC,9.0,4.0,2,Lewis Scot,cutlass,1.0,0.01,23.0,Up,8.0,
328,male,15.0,175.63,74.1,yes,CCCC,8.0,9.0,1,Jack Sparrow,cutlass,0.0,0.15,31.0,The Incredibles,13.0,
329,female,26.0,155.46,59.6,yes,CCCC,13.0,15.0,3,Anicetus,cutlass,1.0,0.15,3.0,WALL-E,8.0,
330,female,41.0,156.54,57.0,yes,JSSFP,10.0,2.0,0,Blackbeard,cutlass,0.0,1.1,1.0,A Bug's Life,12.0,
331,male,24.0,181.84,76.2,yes,CCCC,10.0,3.0,0,Jack Sparrow,sabre,1.0,2.77,23.0,Inside Out,11.0,
332,female,34.0,168.62,73.6,yes,JSSFP,10.0,22.0,2,Edward Low,cutlass,1.0,1.06,0.0,WALL-E,8.0,
333,female,24.0,158.27,58.8,yes,CCCC,13.0,2.0,1,Blackbeard,sabre,0.0,6.14,0.0,Toy Story 2,15.0,
334,female,33.0,179.23,77.3,yes,JSSFP,10.0,6.0,3,Blackbeard,cutlass,0.0,0.1,0.0,A Bug's Life,15.0,
335,female,31.0,159.8,56.4,yes,JSSFP,11.0,11.0,1,Lewis Scot,cutlass,1.0,0.22,0.0,Cars 2,15.0,
336,female,28.0,158.88,61.1,no,CCCC,6.0,22.0,1,Blackbeard,sabre,0.0,1.45,0.0,Inside Out,2.0,
337,male,26.0,157.64,62.7,yes,CCCC,8.0,27.0,6,Jack Sparrow,scimitar,0.0,7.59,20.0,Finding Nemo,9.0,
338,male,25.0,162.19,62.3,yes,CCCC,9.0,139.0,1,Hook,cutlass,1.0,2.93,22.0,Toy Story 2,6.0,
339,male,18.0,169.16,71.0,yes,CCCC,13.0,3.0,3,Jack Sparrow,scimitar,0.0,2.62,22.0,WALL-E,11.0,
340,female,31.0,162.04,59.3,yes,JSSFP,10.0,6.0,1,Jack Sparrow,cutlass,0.0,0.2,2.0,A Bug's Life,10.0,
341,male,30.0,179.01,81.9,no,JSSFP,8.0,12.0,3,Jack Sparrow,banana,0.0,3.64,24.0,Finding Nemo,9.0,
342,female,27.0,156.09,62.5,yes,CCCC,12.0,7.0,2,Edward Low,cutlass,1.0,0.73,0.0,"Monsters, Inc.",11.0,
343,male,26.0,177.86,77.7,yes,CCCC,7.0,24.0,1,Jack Sparrow,cutlass,1.0,0.13,21.0,Monsters University,5.0,
344,female,32.0,183.21,87.8,no,JSSFP,7.0,7.0,1,Lewis Scot,banana,1.0,62.63,1.0,Up,10.0,
345,male,31.0,173.07,71.4,yes,CCCC,10.0,13.0,2,Lewis Scot,cutlass,1.0,0.33,19.0,Inside Out,8.0,
346,female,29.0,160.42,59.7,yes,CCCC,10.0,6.0,1,Blackbeard,cutlass,0.0,0.24,1.0,The Incredibles,7.0,
347,male,26.0,170.34,69.9,yes,CCCC,13.0,5.0,1,Edward Low,cutlass,1.0,0.2,23.0,Finding Nemo,11.0,
348,male,24.0,175.47,72.3,yes,CCCC,11.0,9.0,1,Jack Sparrow,cutlass,1.0,0.49,18.0,Inside Out,10.0,
349,male,21.0,196.33,81.4,yes,CCCC,13.0,13.0,4,Jack Sparrow,cutlass,1.0,0.56,22.0,Inside Out,8.0,
350,male,20.0,169.22,70.6,yes,CCCC,16.0,10.0,9,Hook,cutlass,1.0,0.19,24.0,Finding Nemo,10.0,
351,female,36.0,137.43,48.5,yes,JSSFP,12.0,1.0,8,Blackbeard,cutlass,1.0,0.1,1.0,Cars 2,9.0,
352,male,22.0,186.29,87.4,yes,CCCC,9.0,45.0,2,Jack Sparrow,cutlass,0.0,0.28,18.0,Monsters University,10.0,
353,female,25.0,174.78,77.2,yes,CCCC,12.0,11.0,1,Lewis Scot,cutlass,1.0,1.66,1.0,WALL-E,4.0,
354,male,25.0,184.39,83.9,yes,CCCC,10.0,5.0,1,Hook,cutlass,1.0,0.17,21.0,"Monsters, Inc.",11.0,
355,female,28.0,171.99,75.1,yes,CCCC,9.0,5.0,3,Edward Low,cutlass,1.0,0.03,1.0,Up,3.0,
356,male,21.0,165.42,62.0,yes,CCCC,10.0,15.0,1,Jack Sparrow,cutlass,1.0,1.23,13.0,WALL-E,11.0,
357,male,30.0,195.14,93.9,yes,CCCC,9.0,15.0,0,Jack Sparrow,cutlass,1.0,0.43,21.0,Inside Out,6.0,
358,female,30.0,160.36,61.2,yes,JSSFP,8.0,27.0,4,Lewis Scot,cutlass,1.0,0.46,0.0,Inside Out,16.0,
359,male,33.0,167.16,67.2,no,JSSFP,10.0,41.0,8,Jack Sparrow,sabre,1.0,8.02,16.0,A Bug's Life,11.0,
360,male,32.0,166.83,66.6,yes,JSSFP,14.0,32.0,1,Jack Sparrow,cutlass,0.0,0.83,37.0,Up,10.0,
361,male,29.0,177.26,79.5,yes,CCCC,8.0,5.0,1,Jack Sparrow,cutlass,1.0,0.35,21.0,Inside Out,11.0,
362,male,28.0,180.11,81.2,yes,CCCC,9.0,1.0,3,Jack Sparrow,cutlass,0.0,0.34,14.0,WALL-E,9.0,
363,male,16.0,180.02,78.8,yes,CCCC,10.0,23.0,4,Jack Sparrow,cutlass,1.0,0.58,20.0,Inside Out,10.0,
364,female,40.0,162.52,64.3,yes,JSSFP,8.0,46.0,4,Hook,cutlass,0.0,1.01,1.0,Up,14.0,
365,male,28.0,177.32,79.8,yes,CCCC,11.0,5.0,1,Jack Sparrow,sabre,0.0,1.56,22.0,Finding Nemo,9.0,
366,female,33.0,158.4,61.0,no,JSSFP,3.0,23.0,2,Lewis Scot,banana,0.0,66.74,1.0,Finding Nemo,14.0,
367,female,28.0,162.36,64.5,yes,CCCC,10.0,49.0,3,Edward Low,cutlass,1.0,3.0,0.0,Cars 2,12.0,
368,female,39.0,162.56,58.5,yes,JSSFP,8.0,46.0,0,Lewis Scot,cutlass,0.0,0.27,1.0,The Incredibles,10.0,
369,male,19.0,164.48,64.1,yes,CCCC,13.0,16.0,1,Jack Sparrow,scimitar,1.0,9.92,19.0,Inside Out,16.0,
370,other,35.0,176.64,74.6,yes,JSSFP,13.0,6.0,0,Anicetus,cutlass,0.0,0.7,15.0,The Incredibles,7.0,
371,male,27.0,178.78,80.0,no,CCCC,4.0,19.0,3,Jack Sparrow,banana,1.0,23.38,14.0,Brave,9.0,
372,male,25.0,178.51,76.6,yes,CCCC,8.0,31.0,3,Jack Sparrow,cutlass,1.0,0.13,21.0,Up,7.0,
373,female,28.0,177.32,77.2,yes,CCCC,8.0,84.0,2,Blackbeard,cutlass,0.0,0.84,0.0,Monsters University,11.0,
374,male,13.0,180.7,84.7,yes,CCCC,17.0,6.0,1,Jack Sparrow,cutlass,1.0,0.31,25.0,Inside Out,12.0,
375,male,30.0,178.34,73.6,yes,JSSFP,12.0,15.0,0,Jack Sparrow,cutlass,0.0,0.09,21.0,Finding Nemo,12.0,
376,female,39.0,173.28,73.5,no,JSSFP,3.0,53.0,5,Hook,cutlass,1.0,3.52,0.0,Monsters University,10.0,
377,female,30.0,179.17,79.2,yes,CCCC,10.0,45.0,4,Jack Sparrow,cutlass,0.0,0.17,0.0,WALL-E,11.0,
378,female,29.0,159.0,65.0,yes,CCCC,4.0,6.0,7,Lewis Scot,cutlass,1.0,0.05,0.0,Monsters University,9.0,
379,female,36.0,178.84,80.8,yes,JSSFP,6.0,4.0,3,Anicetus,cutlass,1.0,0.15,3.0,Inside Out,9.0,
380,male,20.0,176.72,71.9,no,CCCC,7.0,12.0,6,Jack Sparrow,cutlass,1.0,0.81,23.0,Inside Out,9.0,
381,male,36.0,192.82,86.9,no,JSSFP,11.0,15.0,3,Jack Sparrow,sabre,0.0,4.1,23.0,The Incredibles,14.0,
382,male,12.0,168.03,65.9,yes,CCCC,8.0,4.0,0,Anicetus,cutlass,1.0,0.38,21.0,Toy Story,14.0,
383,female,35.0,159.88,58.8,yes,JSSFP,11.0,21.0,14,Anicetus,cutlass,1.0,0.27,0.0,Inside Out,12.0,
384,male,23.0,161.71,62.1,yes,CCCC,6.0,22.0,3,Jack Sparrow,cutlass,1.0,0.23,9.0,Cars,13.0,
385,male,34.0,173.02,69.3,yes,CCCC,13.0,21.0,0,Hook,cutlass,0.0,0.55,16.0,WALL-E,8.0,
386,female,31.0,171.91,73.7,yes,JSSFP,10.0,25.0,0,Blackbeard,cutlass,0.0,1.33,0.0,Monsters University,5.0,
387,female,21.0,176.91,69.0,no,CCCC,6.0,7.0,0,Hook,banana,0.0,2.28,0.0,Up,12.0,
388,male,23.0,167.78,64.4,yes,CCCC,8.0,6.0,4,Hook,banana,1.0,3.63,13.0,Inside Out,9.0,
389,other,30.0,177.33,69.6,yes,JSSFP,8.0,55.0,3,Anicetus,cutlass,1.0,1.25,15.0,Inside Out,8.0,
390,male,24.0,155.61,58.6,yes,CCCC,11.0,14.0,0,Jack Sparrow,cutlass,0.0,0.3,20.0,WALL-E,12.0,
391,female,32.0,153.19,56.0,yes,JSSFP,8.0,47.0,0,Edward Low,cutlass,0.0,0.08,0.0,WALL-E,7.0,
392,female,33.0,162.75,60.1,yes,JSSFP,12.0,8.0,1,Lewis Scot,sabre,1.0,9.03,0.0,Finding Nemo,6.0,
393,female,27.0,171.87,70.7,yes,CCCC,9.0,32.0,3,Blackbeard,cutlass,1.0,0.01,0.0,Inside Out,8.0,
394,male,32.0,187.62,85.0,yes,CCCC,14.0,10.0,4,Edward Low,cutlass,1.0,0.45,19.0,Inside Out,7.0,
395,female,33.0,181.77,75.8,yes,JSSFP,9.0,23.0,20,Lewis Scot,cutlass,0.0,1.51,0.0,Finding Nemo,10.0,
396,female,32.0,171.1,64.4,yes,JSSFP,10.0,109.0,1,Lewis Scot,cutlass,1.0,0.37,1.0,WALL-E,12.0,
